Judul,Tahun,Durasi,Kategori,Skor,Pengguna ,Deskripsi,Pemeran
The Jinx: The Life and Deaths of Robert Durst,2015,4h 39min,"Documentary, Crime",8.7,"35,711","Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.","Robert Durst, Andrew Jarecki"
The Adventures of Sherlock Holmes,1984,1h,"Crime, Drama, Mystery",8.7,"18,669","Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.","Jeremy Brett, David Burke"
Justice League Unlimited,2004,23min,"Animation, Action, Adventure",8.7,"8,033",A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,"George Newbern, Kevin Conroy"
Six Feet Under,2001,55min,"Comedy, Drama",8.7,"114,474",A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"Peter Krause, Michael C. Hall"
South Park,1997,22min,"Animation, Comedy",8.6,"315,633","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Trey Parker, Matt Stone"
The Thick of It,2005,29min,Comedy,8.6,"18,708","Set in the corridors of power and spin, the Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.","Chris Addison, James Smith"
Demon Slayer: Kimetsu No Yaiba,2019,25min,"Animation, Action, Fantasy",8.6,"9,194","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Natsuki Hanae, Zach Aguilar"
The Simpsons,1989,22min,"Animation, Comedy",8.6,"346,778",The satiric adventures of a working-class family in the misfit city of Springfield.,"Dan Castellaneta, Nancy Cartwright"
House M.D.,2004,44min,"Drama, Mystery",8.6,"391,921",An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Hugh Laurie, Omar Epps"
The Return of Sherlock Holmes,1986,1h,"Crime, Drama, Mystery",8.6,"9,729","Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.","Jeremy Brett, Edward Hardwicke"
The Crown,2016,58min,"Drama, History",8.6,"107,143",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"Claire Foy, Olivia Colman"
Better Call Saul,2015,46min,"Crime, Drama",8.6,"271,180","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Bob Odenkirk, Rhea Seehorn"
Battlestar Galactica,2004,44min,"Action, Adventure, Drama",8.6,"146,095","When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.","Edward James Olmos, Mary McDonnell"
Aranyélet,2015,1h,"Action, Drama, Thriller",8.6,"6,446","A corrupt businessman and family man attempts to navigate his way through increasing domestic, legal, and financial problems.","Szabolcs Thuróczy, Eszter Ónodi"
BoJack Horseman,2014,25min,"Animation, Comedy, Drama",8.6,"88,704","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Will Arnett, Amy Sedaris"
Yakusoku no Neverland,2019,30min,"Animation, Fantasy, Horror",8.6,"7,784","A group of the smartest kids at a seemingly perfect orphanage uncover its dark truth when they break a rule to never leave the orphanage grounds. Once the truth is discovered, they begin to plan an escape to save all of the children.","Sumire Morohoshi, Maaya Uchida"
Top Gear,2002,1h,Talk-Show,8.6,"104,335","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","Jeremy Clarkson, Richard Hammond"
The Haunting of Hill House,2018,50min,"Drama, Horror, Mystery",8.6,"138,917","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Henry Thomas, Oliver Jackson-Cohen"
One Piece: Wan pîsu,1999,24min,"Animation, Action, Adventure",8.6,"59,424","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Mayumi Tanaka, Tony Beck"
The Shield,2002,47min,"Crime, Drama, Thriller",8.6,"68,237",Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.,"Michael Chiklis, Catherine Dent"
This Is Us,2016,45min,"Comedy, Drama, Romance",8.6,"88,483","A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.","Milo Ventimiglia, Mandy Moore"
Mahabharat,1988,45min,"Drama, History, War",8.6,"7,386","The epic story of the feud between the Pandava princes and their cousins, the Kaurava princes.","Harish Bhimani, Mukesh Khanna"
Deadwood,2004,55min,"Crime, Drama, History",8.6,"89,232","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.","Timothy Olyphant, Ian McShane"
Critical Role,2015,3h,"Adventure, Fantasy",8.6,"6,633","A live weekly show, where a band of professional voice actors improvise, role-play and roll their way through an epic Dungeons & Dragons campaign.","Liam O'Brien, Matthew Mercer"
The Grand Tour,2016,1h,"Comedy, Talk-Show",8.6,"58,557","Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.","Jeremy Clarkson, James May"
Downton Abbey,2010,58min,"Drama, Romance",8.6,"151,494",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Hugh Bonneville, Phyllis Logan"
Lonesome Dove,1989,6h 24min,"Adventure, Drama, Western",8.6,"19,318",Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,"Robert Duvall, Tommy Lee Jones"
Kenpû Denki Berserk,1997,23min,"Animation, Action, Adventure",8.6,"25,697","Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.","Nobutoshi Canna, Marc Diraison"
Blackadder II,1986,2h 56min,Comedy,8.6,"40,749","In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.","Rowan Atkinson, Tony Robinson"
The Memoirs of Sherlock Holmes,1994,5h 6min,"Crime, Drama, Mystery",8.6,"6,566",The last installment of Sherlock Holmes' investigations.,"Jeremy Brett, Rosalie Williams"
Bron/Broen,2011,1h,"Crime, Mystery, Thriller",8.6,"52,932","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.","Sofia Helin, Rafael Pettersson"
The X Files,1993,45min,"Crime, Drama, Mystery",8.6,"189,456","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","David Duchovny, Gillian Anderson"
Archer,2009,22min,"Animation, Action, Comedy",8.6,"129,814",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,"H. Jon Benjamin, Judy Greer"
Parks and Recreation,2009,22min,Comedy,8.6,"190,166",The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,"Amy Poehler, Jim O'Heir"
Star Trek: The Next Generation,1987,44min,"Action, Adventure, Mystery",8.6,"92,437","Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.","Patrick Stewart, Brent Spiner"
Battlestar Galactica,2003,3h 3min,"Action, Adventure, Drama",8.6,"64,709","Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.","Edward James Olmos, Mary McDonnell"
Atlanta,2016,30min,"Comedy, Drama, Music",8.6,"44,349","Based in Atlanta, Earn and his cousin Alfred try to make their way in the world through the rap scene. Along the way they come face to face with social and economic issues touching on race, relationships, poverty, status, and parenthood.","Donald Glover, Brian Tyree Henry"
Young Justice,2010,23min,"Animation, Action, Adventure",8.6,"29,346",Teenage superheroes strive to prove themselves as members of the Justice League.,"Jesse McCartney, Danica McKellar"
Friday Night Lights,2006,44min,"Drama, Sport",8.6,"53,051","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.","Kyle Chandler, Connie Britton"
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,2006,24min,"Animation, Action, Adventure",8.6,"43,932","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire","Johnny Yong Bosch, Yuri Lowenthal"
